id,Producator,Dimensiune,Detalii,Aplicatie,Pret ROTIS cu TVA,Odai,Braila,Cluj,Cod articol
80,BRIDGESTONE,235/65/R17,D SPORT,4X4 VARA,639.74,3,0,0,AB2356517VDSP
92,BRIDGESTONE,255/50/R19,D 400 RUN FLAT,4X4 VARA,1000,2,0,0,AB2555019HD4E
94,BRIDGESTONE,255/55/R18,D 400 RUN FLAT,4X4 VARA,500,1,0,0,AB2555518HDUEL
103,BRIDGESTONE,275/45/R20,D SPORT,4X4 VARA,1071,4,0,0,AB2754520YDUELS
105,BRIDGESTONE,"295/80/R22,5",M729SZ,TRACTIUNE REGIONAL VARA,1700,8,0,0,AB29580225M729
128,BARUM,165/70/R13,POLARIS 3,IARNA,139.06,0,0,20,ABR1657013TP3
133,BARUM,175/65/R14,BRILLANTIS 2,VARA,151.89,4,0,4,ABR1756514TBR2
134,BARUM,175/65/R14,POLARIS 3,IARNA,160.31,1,0,0,ABR1756514TPOL3
138,BARUM,185/60/R15,POLARIS 3,IARNA,178.66,30,2,0,ABR1856015TP3
141,BARUM,185/65/R15,POLARIS 3,IARNA,179.62,0,0,1,ABR1856515TPOL3
146,BARUM,195/60/R16C,VANIS,LT VARA,336.62,2,0,0,ABR1956016CVAN
151,BARUM,195/70/R15C,VANIS 2,LT VARA,253.85,0,0,1,ABR1957015CVA2
152,BARUM,195/75/R16C,SNOVANIS 2,LT IARNA,313.26,16,0,0,ABR1957516CRSN2
171,BARUM,225/35/R19,BRAVURIS 3HM,VARA,400,2,0,0,ABR2253519YBR3X
196,CONTINENTAL,135/70/R15,ECO CONTACT EP,VARA,322.53,2,0,0,AC1357015TECOEP
206,CONTINENTAL,175/55/R15,WINTER CONTACT TS760,IARNA,393.51,4,0,0,AC1755515TTS76
210,CONTINENTAL,175/65/R15,ECO CONTACT 5,VARA,249.57,2,0,0,AC1756515TCEC5
212,CONTINENTAL,175/65/R15,WINTER CONTACT TS810S,IARNA,270.54,8,0,0,AC1756515TTS810
